0.1351	0.0938	0.1289	0.0352	-0.1113	0.0293	0.0820	-0.0117	0.0762	0.0703	0.0820	0.0762	0.0586
0.1385	0.0996	0.1406	0.0410	-0.1201	0.0293	0.0908	-0.0176	0.0820	0.0762	0.0879	0.0820	0.0645
0.1419	0.1113	0.1523	0.0410	-0.1318	0.0352	0.0967	-0.0176	0.0820	0.0762	0.0938	0.0879	0.0703
0.1453	0.1172	0.1699	0.0527	-0.1436	0.0322	0.1113	-0.0176	0.0820	0.0762	0.0938	0.0938	0.0762
0.1486	0.1230	0.1875	0.0645	-0.1553	0.0293	0.1260	-0.0176	0.0820	0.0762	0.0996	0.0996	0.0820
0.1520	0.1348	0.1992	0.0645	-0.1670	0.0352	0.1318	-0.0234	0.0820	0.0762	0.0996	0.1055	0.0879
0.1554	0.1465	0.2109	0.0645	-0.1787	0.0410	0.1377	-0.0293	0.0762	0.0762	0.1113	0.1113	0.0938
0.1588	0.1523	0.2168	0.0645	-0.1846	0.0439	0.1406	-0.0293	0.0703	0.0762	0.1113	0.1172	0.0938
0.1622	0.1582	0.2285	0.0703	-0.1934	0.0439	0.1494	-0.0352	0.0703	0.0820	0.1172	0.1172	0.0996
0.1655	0.1582	0.2402	0.0820	-0.1992	0.0381	0.1611	-0.0410	0.0703	0.0820	0.1172	0.1172	0.1055
0.1689	0.1582	0.2520	0.0938	-0.2051	0.0322	0.1729	-0.0410	0.0645	0.0762	0.1172	0.1172	0.0996
0.1723	0.1582	0.2520	0.0938	-0.2051	0.0322	0.1729	-0.0410	0.0586	0.0703	0.1172	0.1172	0.1055
0.1757	0.1582	0.2578	0.0996	-0.2080	0.0293	0.1787	-0.0469	0.0469	0.0645	0.1172	0.1172	0.1113
0.1791	0.1582	0.2637	0.1055	-0.2109	0.0264	0.1846	-0.0527	0.0410	0.0586	0.1172	0.1172	0.1172
0.1824	0.1582	0.2637	0.1055	-0.2109	0.0264	0.1846	-0.0469	0.0352	0.0527	0.1113	0.1172	0.1113
0.1858	0.1582	0.2637	0.1055	-0.2109	0.0264	0.1846	-0.0469	0.0234	0.0527	0.1055	0.1172	0.1113
0.1892	0.1582	0.2695	0.1113	-0.2139	0.0234	0.1904	-0.0527	0.0176	0.0469	0.1055	0.1113	0.1113
0.1926	0.1582	0.2754	0.1172	-0.2168	0.0205	0.1963	-0.0586	0.0117	0.0410	0.1055	0.1055	0.1113
0.1959	0.1523	0.2695	0.1172	-0.2109	0.0176	0.1934	-0.0586	0.0059	0.0352	0.0996	0.1055	0.1055
0.1993	0.1465	0.2637	0.1172	-0.2051	0.0146	0.1904	-0.0586	-0.0059	0.0293	0.0938	0.1055	0.0996
0.2027	0.1348	0.2578	0.1230	-0.1963	0.0059	0.1904	-0.0586	-0.0176	0.0234	0.0879	0.0996	0.0996
0.2061	0.1289	0.2461	0.1172	-0.1875	0.0059	0.1816	-0.0586	-0.0293	0.0176	0.0879	0.0938	0.0938
0.2095	0.1172	0.2285	0.1113	-0.1729	0.0029	0.1699	-0.0586	-0.0410	0.0059	0.0820	0.0879	0.0879
0.2128	0.1055	0.2109	0.1055	-0.1582	0.0000	0.1582	-0.0586	-0.0527	0.0000	0.0762	0.0820	0.0762
0.2162	0.0938	0.1875	0.0938	-0.1406	0.0000	0.1406	-0.0586	-0.0645	-0.0059	0.0645	0.0703	0.0703
0.2196	0.0762	0.1641	0.0879	-0.1201	-0.0059	0.1260	-0.0586	-0.0762	-0.0176	0.0586	0.0586	0.0645
0.2230	0.0586	0.1406	0.0820	-0.0996	-0.0117	0.1113	-0.0586	-0.0879	-0.0293	0.0527	0.0527	0.0527
0.2264	0.0469	0.1172	0.0703	-0.0820	-0.0117	0.0938	-0.0527	-0.0996	-0.0352	0.0410	0.0410	0.0410
0.2297	0.0352	0.0938	0.0586	-0.0645	-0.0117	0.0762	-0.0469	-0.1113	-0.0469	0.0293	0.0293	0.0293
0.2331	0.0234	0.0703	0.0469	-0.0469	-0.0117	0.0586	-0.0410	-0.1230	-0.0527	0.0176	0.0176	0.0234
0.2365	0.0000	0.0469	0.0469	-0.0234	-0.0234	0.0469	-0.0352	-0.1289	-0.0645	0.0117	0.0117	0.0176
0.2399	-0.0117	0.0234	0.0352	-0.0059	-0.0234	0.0293	-0.0352	-0.1348	-0.0645	0.0059	0.0059	0.0059
0.2432	-0.0176	0.0059	0.0234	0.0059	-0.0205	0.0146	-0.0352	-0.1406	-0.0645	0.0000	0.0000	0.0000
0.2466	-0.0176	-0.0117	0.0059	0.0146	-0.0117	-0.0029	-0.0352	-0.1465	-0.0703	-0.0059	-0.0059	-0.0059
0.2500	-0.0293	-0.0293	0.0000	0.0293	-0.0146	-0.0146	-0.0352	-0.1523	-0.0762	-0.0117	-0.0117	-0.0117
0.2534	-0.0352	-0.0352	0.0000	0.0352	-0.0176	-0.0176	-0.0352	-0.1582	-0.0762	-0.0176	-0.0176	-0.0176
0.2568	-0.0352	-0.0410	-0.0059	0.0381	-0.0146	-0.0234	-0.0410	-0.1523	-0.0762	-0.0176	-0.0176	-0.0176
0.2601	-0.0352	-0.0469	-0.0117	0.0410	-0.0117	-0.0293	-0.0469	-0.1523	-0.0762	-0.0234	-0.0234	-0.0176
0.2635	-0.0352	-0.0527	-0.0176	0.0439	-0.0088	-0.0352	-0.0469	-0.1523	-0.0762	-0.0293	-0.0293	-0.0176
0.2669	-0.0352	-0.0527	-0.0176	0.0439	-0.0088	-0.0352	-0.0469	-0.1523	-0.0703	-0.0293	-0.0293	-0.0176
0.2703	-0.0352	-0.0527	-0.0176	0.0439	-0.0088	-0.0352	-0.0469	-0.1465	-0.0645	-0.0293	-0.0293	-0.0176
0.2736	-0.0352	-0.0527	-0.0176	0.0439	-0.0088	-0.0352	-0.0410	-0.1406	-0.0645	-0.0293	-0.0293	-0.0176
0.2770	-0.0352	-0.0527	-0.0176	0.0439	-0.0088	-0.0352	-0.0410	-0.1406	-0.0645	-0.0293	-0.0293	-0.0176
0.2804	-0.0352	-0.0469	-0.0117	0.0410	-0.0117	-0.0293	-0.0410	-0.1406	-0.0645	-0.0293	-0.0234	-0.0234
0.2838	-0.0352	-0.0410	-0.0059	0.0381	-0.0146	-0.0234	-0.0410	-0.1406	-0.0645	-0.0234	-0.0176	-0.0234
0.2872	-0.0293	-0.0469	-0.0176	0.0381	-0.0059	-0.0322	-0.0410	-0.1348	-0.0645	-0.0176	-0.0176	-0.0176
0.2905	-0.0293	-0.0410	-0.0117	0.0352	-0.0088	-0.0264	-0.0410	-0.1289	-0.0586	-0.0176	-0.0176	-0.0117
0.2939	-0.0234	-0.0352	-0.0117	0.0293	-0.0059	-0.0234	-0.0410	-0.1289	-0.0527	-0.0176	-0.0176	-0.0117
0.2973	-0.0176	-0.0352	-0.0176	0.0264	0.0000	-0.0264	-0.0410	-0.1230	-0.0527	-0.0176	-0.0176	-0.0117
0.3007	-0.0117	-0.0293	-0.0176	0.0205	0.0029	-0.0234	-0.0410	-0.1172	-0.0527	-0.0117	-0.0117	-0.0117
0.3041	-0.0176	-0.0234	-0.0059	0.0205	-0.0059	-0.0146	-0.0410	-0.1113	-0.0469	-0.0059	-0.0059	-0.0117
0.3074	-0.0176	-0.0234	-0.0059	0.0205	-0.0059	-0.0146	-0.0410	-0.1055	-0.0410	-0.0117	-0.0059	-0.0117
0.3108	-0.0176	-0.0176	0.0000	0.0176	-0.0088	-0.0088	-0.0410	-0.0996	-0.0410	-0.0117	-0.0059	-0.0117
0.3142	-0.0176	-0.0176	0.0000	0.0176	-0.0088	-0.0088	-0.0410	-0.0938	-0.0410	-0.0059	-0.0059	-0.0117
0.3176	-0.0117	-0.0117	0.0000	0.0117	-0.0059	-0.0059	-0.0352	-0.0879	-0.0352	0.0000	-0.0117	-0.0059
0.3209	-0.0059	-0.0059	0.0000	0.0059	-0.0029	-0.0029	-0.0293	-0.0879	-0.0293	0.0000	-0.0059	0.0000
0.3243	-0.0059	0.0000	0.0059	0.0029	-0.0059	0.0029	-0.0293	-0.0879	-0.0293	0.0000	0.0000	0.0000
0.3277	-0.0059	0.0059	0.0117	0.0000	-0.0088	0.0088	-0.0293	-0.0820	-0.0293	0.0000	0.0000	0.0000
0.3311	0.0000	0.0117	0.0117	-0.0059	-0.0059	0.0117	-0.0293	-0.0762	-0.0293	0.0000	0.0000	0.0000
0.3345	0.0059	0.0176	0.0117	-0.0117	-0.0029	0.0146	-0.0293	-0.0762	-0.0293	0.0000	0.0059	0.0117
0.3378	0.0059	0.0176	0.0117	-0.0117	-0.0029	0.0146	-0.0293	-0.0762	-0.0293	0.0000	0.0117	0.0117
0.3412	0.0059	0.0234	0.0176	-0.0146	-0.0059	0.0205	-0.0352	-0.0703	-0.0234	0.0059	0.0117	0.0117
0.3446	0.0059	0.0293	0.0234	-0.0176	-0.0088	0.0264	-0.0410	-0.0645	-0.0176	0.0117	0.0117	0.0117
0.3480	0.0059	0.0293	0.0234	-0.0176	-0.0088	0.0264	-0.0410	-0.0645	-0.0176	0.0117	0.0117	0.0117
0.3514	0.0059	0.0352	0.0293	-0.0205	-0.0117	0.0322	-0.0410	-0.0645	-0.0176	0.0117	0.0117	0.0117
0.3547	0.0059	0.0410	0.0352	-0.0234	-0.0146	0.0381	-0.0410	-0.0586	-0.0176	0.0176	0.0117	0.0117
0.3581	0.0059	0.0410	0.0352	-0.0234	-0.0146	0.0381	-0.0352	-0.0527	-0.0176	0.0176	0.0117	0.0117
0.3615	0.0117	0.0410	0.0293	-0.0264	-0.0088	0.0352	-0.0293	-0.0469	-0.0176	0.0234	0.0117	0.0117
